"","metric","SCALING.hi.elevTRUE","SCALING.sp.mass.STD","SCALING.rel.mass.STD","SCALING.ss.STD","FULL.hi.elevTRUE","FULL.sp.muscle.STD","FULL.sp.mass.STD","FULL.sp.wing.load.STD","FULL.sp.AR.STD","FULL.rel.mass.STD","FULL.rel.wingload.gcm.STD","FULL.rel.AR.STD","FULL.ss.STD"
"1","total_vel",-0.0760703086277146,0.190598876395109,-0.126550052903719,0.198340007237731,-0.00184542477296431,0.190158052461505,0.0748095216177331,0.031611171801818,-0.0731113877989455,-0.123308836078051,-0.0427447512781022,-0.050085524334728,0.197086597493012
"2","hor_acel",-0.318417246910347,0.313805003244535,-0.271168869724536,0.11556535391737,-0.242347839699806,0.339146315046425,0.162862628537895,0.0358770774915121,-0.124395034430951,-0.223804507318297,-0.188262907804412,0.0926187680613056,0.137247312276148
"3","hor_decel",0.00559837326262206,0.341511065136223,-0.264844514622431,-0.0107822598724004,0.0589599329720661,0.314779084676108,0.178308759607303,-0.0211844989519019,0.0535929948752024,-0.201803074965183,-0.194022756179673,0.0474840146470318,0.00485649568935623
"4","pitch_up",0.574214837658813,0.232059403323872,-0.105912108144019,0.221488194123485,0.534639056043175,0.253150297607376,0.0624915633127062,-0.158881185711098,0.0878374709078488,-0.0693327527214906,-0.109604083475202,-0.029976256686993,0.204364909522855
"5","pitch_down",0.483963512444773,0.302076975108361,-0.111679361524807,0.2191139936719,0.193518624706322,0.175825119072652,0.209647291036278,-0.330118779614193,0.094655409693442,-0.109933149781791,-0.0356703602472263,0.0487975015257628,0.205427788769566
"6","yaw",0.555010130450643,0.232332892788645,-0.16819149537691,0.00874109705433612,0.08220264094516,0.158654604983269,0.149358739524625,-0.431458691969101,0.094300897494581,-0.137718305784319,-0.0969982571180986,0.0662092324769992,-0.00777545852371186
"7","arc_radius",0.229138855827667,0.0553843645225866,-0.0957004474112782,-0.129661754428341,0.41178784961469,-0.0966039830273606,0.0606001330447517,0.0474910542747651,0.213532971151072,-0.145933403399518,0.0554133461419159,-0.0836759046476406,-0.128546020072089
"8","arc_avg_vel",0.244636991538622,0.126105802947997,-0.216288011688479,0.0336859715746278,0.37391008970885,0.0331860962241924,0.0549773567597774,0.00308696081989694,0.141739184508171,-0.24338587065471,0.0116196100613363,-0.111433937665537,0.031011398814471
"9","arc_force",-0.00604367242627326,0.197182336946586,-0.224282661192579,0.421581587496802,-0.0694181476025728,0.230041248223615,0.0622477641247985,-0.0364798061689529,-0.077397188163833,-0.188576515746107,-0.124267977951434,-0.0433567213279409,0.433618584477395
"10","PRT_degrees",0.0112607359366715,0.0704638094471469,0.0607978179760573,0.237552866152366,0.0707865338099857,0.152992746767928,-0.0270540507894934,0.00393524842780701,-0.214816065009668,0.0379392638412138,0.0990257159869181,-0.15918848361466,0.215103269297738
"11","PRT_time",-0.226426063311958,0.0377474717310566,0.0156685761174386,0.133460720204816,-0.184668625991434,0.28180557052716,-0.0722484582455965,-0.0031354000976264,-0.173616268598993,0.00665321241141311,-0.0205493369230871,0.0877463353231181,0.135536224508119
"12","pPRT",-0.222122604019593,0.206107663755414,-0.0434430562384514,NA,-0.772980559839817,-0.073727462803382,0.282216863274536,-0.421294294861503,0.189380252967107,-0.0409737515484564,-0.0295528070132736,0.171636913530047,NA
