id,band,year,site,country,elevation,species,sp,clade,color,sex,mass,wing.area,AR,wingload.gcm,total_vel,hor_acel,hor_decel,pitch_up,pitch_down,yaw,arc_radius,arc_avg_vel,arc_force,PRT_degrees,PRT_time,pPRT,ss.V,ss.HA,ss.HD,ss.PU,ss.PD,ss.Y,ss.ARC,ss.PRT
AMATZ003,A33438,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,6.6,1729.24,7.382,0.38167056,1.656698024,5.480073875,-5.432188194,1.411015742,-1.153152312,1.986961813,0.433683086,1.284912557,4.585303274,116.457457,0.364828571,0.726141079,445,416,417,49,242,35,66,175
AMATZ004,A33437,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,5.3,1530.5495,7.463,0.346280862,2.597107499,5.440168856,-6.090640647,1.338647637,-1.053660464,2.083763705,0.42488806,1.515735285,7.013006321,135.5532499,0.353591549,0.366925065,1032,768,687,30,103,21,490,284
AMATZ005,A33446,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,5.2,1731.981,7.427,0.30023424,1.397513822,3.850499866,-4.740584522,1.330292594,-1.128714185,1.912353746,0.592485662,1.258315275,2.678464074,53.14658423,0.453214286,0.875,51,46,44,213,286,179,2,14
AMATZ006,A33447,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,4.7,1943.7885,7.473,0.241795854,1.49524548,5.40161614,-5.824085151,1.399904554,-1.324290718,1.87009613,0.432279879,1.269703152,3.729403502,72.2398678,0.489545455,0.916666667,36,33,33,399,498,357,1,11
AMATZ007,A33456,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,NA,2239.1305,7.2495,NA,1.753754226,5.964911662,-6.38065718,1.538842685,-1.251609581,1.880117836,0.851007435,1.887436588,4.386924645,49.8062184,0.438157895,0.904761905,112,110,113,519,582,220,4,38
AMATZ008,A33454,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,5.7,1999.7715,7.5735,0.285032565,1.633294313,5.640396549,-5.847310115,1.26369294,-1.136359023,1.778637519,0.303563228,1.168519631,5.466668732,115.3261594,0.36515528,0.654471545,489,471,459,98,276,84,85,161
AMATZ009,A33472,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,5.5,2128.2685,8.0705,0.25842604,1.923062699,5.734310297,-5.795051614,1.523226973,-1.26400342,2.17071078,0.501942481,1.518715098,5.668394725,73.5307721,0.414497354,0.859090909,531,405,425,311,504,150,31,189
AMATZ010,A33471,2012,LaSelva,Costa Rica,60,Amazilia.tzacatl,AMATZ,EMERALD,#698A69,M,5.7,1960.414,8.0775,0.290754912,2.251259774,5.516106686,-4.957048055,1.148772108,-1.124375599,2.210865141,0.347104405,1.288284456,7.346206116,111.8511934,0.375074074,0.54,564,422,404,19,58,21,115,135
COLTH001,A33475,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,5.3,2431.225,6.9955,0.2179971,1.37433079,3.68420601,-4.206164947,1.171792061,-1.024809542,1.74832901,0.388224636,1.171771561,3.875252097,121.9067628,0.513662791,0.90052356,622,326,278,147,235,179,19,172
COLTH002,A33476,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,5.4,2664.81,6.951,0.202641089,1.57489953,4.079307986,-4.349030504,1.144610925,-1.064660413,1.78317226,0.445285802,1.304462681,4.802514452,87.66498998,0.439215116,0.744588745,629,608,611,364,509,349,59,172
COLTH003,A33477,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,5.6,2782.5955,7.9875,0.201250954,1.636892122,5.277789025,-5.599988432,1.377197645,-1.184515857,2.235074237,0.427147338,1.300520912,4.984110674,140.0242212,0.451544503,0.782786885,679,360,350,110,358,75,53,191
COLTH004,A33479,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6,2724.1135,7.332,0.22025514,1.946639186,4.33074362,-5.085913748,1.407337839,-1.030854371,1.77942281,0.452411449,1.417096529,5.101090173,96.50148394,0.513108108,0.532374101,359,172,183,65,161,59,65,74
COLTH005,A33482,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6.1,2695.558,7.4875,0.226298228,1.916862807,4.602550188,-6.051991774,1.267146006,-1.090193149,1.937349705,0.546940174,1.537842085,5.230580705,97.5706873,0.403591549,0.657407407,682,240,319,66,172,49,74,142
COLTH006,A33483,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6.3,2901.3075,7.515,0.217143478,1.557756319,4.129933133,-4.728170471,1.220931785,-1.013082806,1.969861844,0.386586648,1.190570696,4.236212108,119.2608944,0.500887097,0.738095238,414,267,277,62,116,52,44,124
COLTH007,A33484,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6.8,2813.3285,7.1085,0.241706576,1.800334982,4.628727502,-5.848848264,1.293124822,-1.067817722,1.830902449,0.256842991,1.066546708,5.506787233,84.46145711,0.454554455,0.918181818,344,149,155,215,509,130,9,101
COLTH008,A33485,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6.1,2260.546,7.942,0.269846311,1.950921817,3.608235028,-2.687956198,1.318708227,-1.222480654,1.582178526,0.462015152,1.506171388,5.439852128,79.82999133,0.35,0.2,64,21,26,7,9,4,8,2
COLTH009,A33492,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,6.7,2659.927,7.88,0.251886612,1.588079325,4.231179823,-4.220032421,1.374334803,-1.024179909,1.909093845,0.345652754,1.120954313,3.972077879,97.54404133,0.420833333,0.736842105,759,424,353,59,164,86,60,168
COLTH010,A33491,2012,Cerro,Costa Rica,3100,Colibri.thalassinus,COLTH,MANGO,#0000CC,U,5,2339.163,7.4265,0.213751671,1.909260218,6.344539414,-7.88331406,1.722884217,-1.449255734,2.136997724,0.513792575,1.38843097,3.751982129,104.2591667,0.51,0.954545455,106,40,46,535,647,262,1,21
ERILU001,NA,2013,Guaytara,Ecuador,3523,Eriocnemis.luciani,ERILU,BRILLIANT,#8A2323,M,4.79,3074.0355,6.5465,0.155821232,2.043317147,6.043082275,-6.460660962,1.470237421,-1.192007781,2.010637508,0.43903971,1.65408831,7.503085299,94.75806411,0.495,0.347826087,253,149,143,155,193,139,30,16
EUGFU001,A33367,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10.1,3232.57,7.1715,0.312444897,1.710601218,4.516022568,-6.426286508,1.331666437,-1.123046674,1.914713751,0.499475945,1.472927252,4.675789362,96.45355281,0.4845,0.740740741,265,110,86,136,225,74,14,40
EUGFU002,A33366,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.8,3480.068,7.768,0.281603693,1.95159945,4.626347594,-5.010607295,1.352211112,-1.232640014,2.075516726,0.486441162,1.434339812,5.118914338,97.42821409,0.429370861,0.683257919,612,359,303,115,282,118,70,151
EUGFU003,A33373,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.4,2920.9465,8.691,0.321813494,1.328001749,3.56244278,-4.231618352,1.238347625,-1.078274874,1.866091417,0.352633414,1.047506598,3.549979076,108.4439654,0.620217391,0.71875,173,96,82,294,391,81,9,23
