"","metric","SCALING.hi.elevTRUE","SCALING.sp.mass.STD","SCALING.rel.mass.STD","SCALING.ss.STD","FULL.hi.elevTRUE","FULL.sp.muscle.STD","FULL.sp.mass.STD","FULL.sp.wing.load.STD","FULL.sp.AR.STD","FULL.rel.mass.STD","FULL.rel.wingload.gcm.STD","FULL.rel.AR.STD","FULL.ss.STD"
"1","total_vel",-0.157460888032671,0.216618906931888,-0.154541102874754,0.189586359184957,-0.0208735382889764,0.207787872781358,0.0512523937019732,0.0516740983602399,-0.0771940101421306,-0.140626586008725,-0.0380691370988357,-0.0468157888232397,0.197384976200897
"2","hor_acel",-0.391480589688239,0.350757126179029,-0.28537164768726,0.0968021555731345,-0.283168368582881,0.355020583197669,0.140441956533773,0.030385437616915,-0.117083460502773,-0.224573463372258,-0.18590176307012,0.0908714200302444,0.121546922676791
"3","hor_decel",-0.105294468158058,0.378055516702744,-0.269202897131894,-0.0291932347199382,0.0733408543124248,0.338422374480331,0.150961034668459,-0.0132359543359143,0.0347970553705513,-0.215581425022844,-0.185174602543183,0.0385717351698359,-0.00304710691696696
"4","pitch_up",0.356273213934458,0.240947457251635,-0.115730468664783,0.207667206901101,0.450528074731985,0.312860304396531,0.0419586270759815,-0.0778291986487604,-0.0322934550302298,-0.0753129726763418,-0.0986499400216357,-0.0452180464772602,0.204355648346008
"5","pitch_down",0.260908453716517,0.314350300598699,-0.11659941292668,0.223920092786968,0.234950857210525,0.321243075789378,0.132557489959987,-0.179991427738624,-0.0493315635963585,-0.108085326321209,-0.0388563817804256,0.043598247620919,0.208404002736345
"6","yaw",0.336794722713376,0.253806376384873,-0.175744195749091,0.0017418148515757,0.129950988533605,0.306731475514786,0.0871261203238826,-0.287113080326386,-0.0484190597007343,-0.140862887554753,-0.0956354743334031,0.0575328338493096,-0.00839033478519212
"7","arc_radius",0.206704265583467,0.0754982688173452,-0.126682376786363,-0.160862444759218,0.395717336278182,-0.114941144572834,0.0634283122365448,0.0367360771152588,0.216854230829964,-0.155788464465726,0.0624454142169076,-0.0915345848469266,-0.135524850051035
"8","arc_avg_vel",0.222880267661093,0.156040110815106,-0.235589942982332,0.00139709516070599,0.349166117811055,0.0170420685336716,0.0680541710136787,0.00048861850408809,0.115513953624106,-0.249999794768022,0.0210711536266996,-0.122234068947001,0.0283629785764359
"9","arc_force",-0.0342327694867357,0.220530935803049,-0.232774786228334,0.407161271845843,-0.0513590755618973,0.244591240742698,0.0467901057502002,-0.0106970445877417,-0.0987197653759463,-0.191623177851674,-0.12539569456868,-0.0464352522189865,0.416240071658962
"10","PRT_degrees",0.122898231780397,0.0963024730611478,0.0545659620886115,0.245763452541327,0.0852478909107801,0.122620120763583,-0.00875820783664098,-0.0217888260490454,-0.178580006980478,0.054623046174215,0.0737761249615881,-0.123087085923806,0.231380621159242
"11","PRT_time",-0.258896229532672,0.0874421039140872,0.00172684720846872,0.146391847847109,-0.155866353763269,0.322289371366408,-0.0911616982930937,0.0464250129840212,-0.208897498812351,0.0029962635142504,-0.0141666410928832,0.0858898846431427,0.135001720381927
"12","pPRT",-0.327511524620348,0.212477800319646,-0.039754513168376,NA,-0.798614806235806,-0.034576228802421,0.271122201478578,-0.413490092002796,0.160799346619873,-0.0484304845897448,-0.017247466270868,0.162373536281583,NA
