birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
195,0_9.2_1_9.2_0_0,195_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,1,to,-0.014643669,1.833025459,red
195,0_9.2_1_9.2_0_0,195_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,3,from,0.00075186,2.188037666,red
195,0_9.2_1_9.2_0_0,195_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,5,from,-0.022249775,1.884029942,red
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,3,to,0.008418151,1.961059285,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,1,from,-0.039395265,1.681190718,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,5,from,-0.062596708,2.038074392,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,2,to,0.057258963,2.603016974,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,4,from,0.015417789,2.405110318,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,1,to,0.038398829,2.394783274,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,3,from,-0.00095065,1.339477426,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,4,to,-0.002041602,2.674141416,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,2,from,-0.008994275,2.44248664,NA
195,1_1.15_0_1.15_0_0,195_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,5,to,0.065623684,2.510389759,NA
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,2,from,-0.057666128,2.62869181,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,5,from,-0.119703483,2.407312619,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,3,to,-0.00155105,2.053618457,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,4,from,-0.102197573,2.22250817,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,2,to,-0.092520283,2.899502199,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,4,to,-0.078369663,1.885130924,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,3,from,-0.126620397,2.246434479,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,1,to,-0.075966616,2.169899093,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,1,from,-0.089887498,2.205097695,black
195,1_1.15_0_9.2_0_0,195_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,5,to,-0.032930462,2.235975655,black
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,1,from,0.034207948,2.60800492,NA
