birdID,treatmentID,bird.treatment.block,dot.density,left.wall.speed,right.wall.speed,wall.diff.L-R,replicate,to.from.feeder,avg.y.position,avg.x.velocity
187,NA_0_12800_-0.2572_0.2572_255,187_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,-0.07916508,3.266562068
188,NA_0_12800_-0.2572_0.2572_255,188_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,-0.047060585,2.687730898
189,NA_0_12800_-0.2572_0.2572_255,189_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.127600873,3.48569567
190,NA_0_12800_-0.2572_0.2572_255,190_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,-0.010890206,2.186778951
192,NA_0_12800_-0.2572_0.2572_255,192_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.027171027,1.560279824
194,NA_0_12800_-0.2572_0.2572_255,194_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.047321307,3.318035232
195,NA_0_12800_-0.2572_0.2572_255,195_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.067244814,3.030082337
196,NA_0_12800_-0.2572_0.2572_255,196_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.114668672,2.308711926
197,NA_0_12800_-0.2572_0.2572_255,197_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.02592146,1.692652685
198,NA_0_12800_-0.2572_0.2572_255,198_NA_0_12800_-0.2572_0.2572_255,12800,-0.2572,0.2572,-0.5144,1,from,0.037710603,3.063930485
187,NA_0_12800_0_0_255,187_NA_0_12800_0_0_255,12800,0,0,0,1,from,-0.020372182,2.06755759
188,NA_0_12800_0_0_255,188_NA_0_12800_0_0_255,12800,0,0,0,1,from,-0.049744268,2.49291705
189,NA_0_12800_0_0_255,189_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.076338478,2.475208775
190,NA_0_12800_0_0_255,190_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.005653097,2.330640986
