birdID,experiment,treatmentID,bird.treatment.block,treatment.name,grating.orientation,grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,avg.abs.y.position,left.eye.pattern.velocity,right.eye.pattern.velocity
178,exp4,0_1.15_0_1.15,178_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.012697764,1.46027919,0.03724539,257.6367401,289.002473
181,exp4,0_1.15_0_1.15,181_0_1.15_0_1.15,smallH,hor,2.3,1,from,-0.078025951,2.518809005,0.078025951,605.3298702,371.7798437
183,exp4,0_1.15_0_1.15,183_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.101184098,3.006239519,0.101184098,415.6700356,817.1643532
184,exp4,0_1.15_0_1.15,184_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.0070795,1.333796216,0.015909802,235.8986873,251.2425883
185,exp4,0_1.15_0_1.15,185_0_1.15_0_1.15,smallH,hor,2.3,1,from,-0.003159808,1.198353844,0.039501543,219.5783841,224.3813952
186,exp4,0_1.15_0_1.15,186_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.065034397,1.487144998,0.065034397,229.1379075,347.2198982
187,exp4,0_1.15_0_1.15,187_0_1.15_0_1.15,smallH,hor,2.3,1,from,-0.029530507,2.560601275,0.035014862,522.7815093,429.08084
188,exp4,0_1.15_0_1.15,188_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.035262817,1.664858865,0.048883734,275.9600399,352.2442283
189,exp4,0_1.15_0_1.15,189_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.117776714,2.294906198,0.117776714,302.5069781,688.7816127
190,exp4,0_1.15_0_1.15,190_0_1.15_0_1.15,smallH,hor,2.3,1,from,0.078675469,2.049442712,0.078675469,304.6330109,498.4877025
178,exp4,0_9.2_0_9.2,178_0_9.2_0_9.2,largeH,hor,18.4,1,from,0.015115764,1.551850004,0.053002712,275.0244597,311.9400293
181,exp4,0_9.2_0_9.2,181_0_9.2_0_9.2,largeH,hor,18.4,1,from,-0.045191335,2.860110149,0.047154476,623.3158645,456.4867912
183,exp4,0_9.2_0_9.2,183_0_9.2_0_9.2,largeH,hor,18.4,1,from,-0.017929216,2.469251704,0.029233179,483.0484839,424.4969753
184,exp4,0_9.2_0_9.2,184_0_9.2_0_9.2,largeH,hor,18.4,1,from,0.021167885,1.239400173,0.052643192,212.9004274,251.4204142
185,exp4,0_9.2_0_9.2,185_0_9.2_0_9.2,largeH,hor,18.4,1,from,-0.016076528,1.29409344,0.027445167,247.4103104,229.3986242
186,exp4,0_9.2_0_9.2,186_0_9.2_0_9.2,largeH,hor,18.4,1,from,0.090106456,1.246559587,0.090106456,177.1941632,322.8452069
187,exp4,0_9.2_0_9.2,187_0_9.2_0_9.2,largeH,hor,18.4,1,from,-0.054683571,1.742262677,0.054957456,388.5022746,270.6862255
188,exp4,0_9.2_0_9.2,188_0_9.2_0_9.2,largeH,hor,18.4,1,from,0.130939744,1.777661784,0.130939744,229.038365,553.3166311
189,exp4,0_9.2_0_9.2,189_0_9.2_0_9.2,largeH,hor,18.4,1,from,-0.055083993,2.633584287,0.070202876,605.2316138,415.9567512
190,exp4,0_9.2_0_9.2,190_0_9.2_0_9.2,largeH,hor,18.4,1,from,0.031385338,1.751806172,0.031463279,292.3739943,356.315949
178,exp4,1_1.15_1_1.15,178_1_1.15_1_1.15,smallV,ver,2.3,1,from,0.061186133,1.471951722,0.061186133,224.6624709,334.0874732
181,exp4,1_1.15_1_1.15,181_1_1.15_1_1.15,smallV,ver,2.3,1,from,0.006473386,1.91352168,0.067622385,352.6265171,391.3228238
