birdID,treatmentID,bird.treatment.block,grating.orientation,grating.period,grating.up.down.speed,replicate,to.from.feeder,avg.y.position,avg.z.position,avg.x.velocity
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,from,-0.020452957,1.537499613,1.336275623
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,from,0.000816835,1.533979452,1.824813361
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,from,0.082585136,1.517687461,1.208781333
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,from,0.035935706,1.527168116,1.576347706
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,2,to,0.024371626,1.518143698,1.431033697
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,2,to,-0.031314248,1.469372316,1.923837518
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,2,to,0.028043969,1.500354636,1.776618196
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,2,to,-0.026400212,1.314018081,1.130781698
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,2,to,-0.036833234,1.49749719,1.444755611
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,2,to,0.047273078,1.439201263,1.990667883
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,2,to,0.074671274,1.531620608,1.591774623
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,2,to,-0.048172385,1.514743056,1.614019222
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,2,to,-0.031732663,1.469138372,1.439492252
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,2,to,-0.00229232,1.505484659,1.300907503
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,to,0.070568752,1.537250315,1.631231312
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,to,-9.51E-05,1.541529221,1.404802002
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,to,0.093705638,1.540176656,1.679277633
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,to,-0.01215232,1.534816556,1.183393019
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,2,to,-0.019523996,1.542469456,1.250807635
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,from,0.091308505,1.516468973,1.820463661
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,from,0.031125459,1.453246281,1.55830769
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,from,0.079267664,1.49261715,2.193316617
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,from,-0.007070472,1.44580698,1.429756501
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,from,-0.017567627,1.471202842,1.418502915
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,3,from,0.073539175,1.486274809,1.975240488
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,3,from,0.009425263,1.518952858,1.590906445
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,3,from,-0.018959684,1.509964824,1.702692139
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,3,from,0.015350634,1.446899509,1.349124921
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,3,from,-0.000983101,1.500133739,1.690433652
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,from,0.105574954,1.541234292,1.962642017
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,from,-0.028644112,1.540655559,1.418138319
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,from,0.004235842,1.542738912,2.036244036
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,from,0.10861355,1.524296665,1.16775009
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,from,0.044915046,1.531013642,1.888074458
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,to,0.05120547,1.498316701,2.022036535
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,to,-0.040884999,1.412189567,1.709042534
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,to,0.032645913,1.516868597,1.731684637
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,to,-0.030748986,1.307413837,1.114920266
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,3,to,-0.011506589,1.48594876,1.297338271
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,3,to,0.005160071,1.446331672,1.626591444
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,3,to,0.08561978,1.518576635,1.525248545
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,3,to,-0.024442447,1.51332185,1.559214888
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,3,to,0.002396567,1.461716243,1.409549564
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,3,to,0.038875978,1.5053738,1.214858727
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,to,0.062980439,1.540517675,1.679119728
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,to,-0.042902103,1.533472819,1.588532997
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,to,0.1142788,1.534042716,1.505352313
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,to,-0.005835995,1.524195334,1.199888876
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,3,to,0.018964174,1.53975742,1.382766112
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,from,0.04391154,1.509543693,1.627636606
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,from,-0.016753376,1.487972568,1.333962749
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,from,0.048970488,1.47410827,2.240679126
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,from,0.016471221,1.178681693,0.876219722
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,from,0.028586554,1.504889703,1.389453924
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,4,from,0.052706462,1.498293297,2.059155203
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,4,from,-0.007320239,1.51837159,1.056258566
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,4,from,0.034475522,1.508826524,1.655734048
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,4,from,0.035267524,1.474620579,1.543563528
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,4,from,0.014397977,1.500140499,1.683943438
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,from,0.116002698,1.530750141,2.044012891
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,from,-0.018347311,1.535950041,1.47073923
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,from,0.057815528,1.54015901,2.029185763
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,from,0.070419242,1.513587381,1.233059101
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,from,0.060793056,1.522855531,1.724488199
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,to,0.025829804,1.516145018,2.064320916
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,to,-0.024026813,1.474495456,2.1328755
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,to,0.032404243,1.482438873,1.884688571
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,to,0.031609333,1.465669666,1.516912938
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,4,to,-0.030231977,1.501213326,1.504088023
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,4,to,0.036424304,1.458588469,2.245841556
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,4,to,0.049267126,1.51074274,1.791328145
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,4,to,-0.008895781,1.517870834,1.897351419
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,4,to,0.015931329,1.506949004,1.383797751
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,to,-0.071676267,1.537803794,1.251864037
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,to,-0.025408968,1.538482502,1.465693885
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,to,0.111764962,1.535516156,1.558889616
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,to,0.017989046,1.528071284,1.118305942
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,4,to,-0.04776353,1.539121545,1.319361196
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,from,0.081368716,1.520122088,1.818674727
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,from,0.022697825,1.509726591,1.690402393
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,from,0.01872559,1.459510469,2.403338883
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,from,0.043010391,1.24109516,1.790327102
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,from,0.045319442,1.508640236,1.393740502
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,5,from,0.094443512,1.51038724,2.50667321
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,5,from,-0.047801434,1.523250167,1.324578371
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,5,from,-0.019999784,1.450325299,1.57267933
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,5,from,0.045285008,1.509176681,1.658774099
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,from,0.105799676,1.527042941,2.190723386
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,from,0.005686682,1.540158021,1.661103613
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,from,0.002317045,1.530865158,2.091254437
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,from,0.072803037,1.512110313,1.194985933
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,from,0.088549744,1.541663348,2.014589075
196,0_9.2_0_9.2_-0.34_-0.34,196_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,to,0.081989565,1.495474078,1.862603499
197,0_9.2_0_9.2_-0.34_-0.34,197_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,to,-0.05164176,1.477785462,1.896993803
198,0_9.2_0_9.2_-0.34_-0.34,198_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,to,0.034355281,1.458516875,1.721337176
199,0_9.2_0_9.2_-0.34_-0.34,199_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,to,0.007703921,1.387505442,1.327494152
201,0_9.2_0_9.2_-0.34_-0.34,201_0_9.2_0_9.2_-0.34_-0.34,hor,18.4,-0.34,5,to,-0.018265135,1.50145181,1.455163963
196,0_9.2_0_9.2_0_0,196_0_9.2_0_9.2_0_0,hor,18.4,0,5,to,0.024076652,1.481617138,2.316506601
197,0_9.2_0_9.2_0_0,197_0_9.2_0_9.2_0_0,hor,18.4,0,5,to,0.066971379,1.528700464,2.135844493
198,0_9.2_0_9.2_0_0,198_0_9.2_0_9.2_0_0,hor,18.4,0,5,to,-0.032323785,1.525908376,1.453750425
199,0_9.2_0_9.2_0_0,199_0_9.2_0_9.2_0_0,hor,18.4,0,5,to,-0.005115491,1.408547549,1.722775902
201,0_9.2_0_9.2_0_0,201_0_9.2_0_9.2_0_0,hor,18.4,0,5,to,0.007599043,1.521012118,1.342465587
196,0_9.2_0_9.2_0.34_0.34,196_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,to,0.071657523,1.536311901,1.667028781
197,0_9.2_0_9.2_0.34_0.34,197_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,to,0.056993247,1.542159707,1.618935674
198,0_9.2_0_9.2_0.34_0.34,198_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,to,0.080320722,1.529532913,1.539568758
199,0_9.2_0_9.2_0.34_0.34,199_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,to,0.024135499,1.530815849,1.148083638
201,0_9.2_0_9.2_0.34_0.34,201_0_9.2_0_9.2_0.34_0.34,hor,18.4,0.34,5,to,-0.021225201,1.533532872,1.310865099
