birdID,treatmentID,bird.treatment.block,left.grating.orientation,L.grating.period,R.grating.period,side.small.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,0.040344431,1.410485891
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,0.03092293,1.83964243
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,0.015194136,1.422033928
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,-0.007400841,1.458245974
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,-0.00012494,1.862081165
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,0.025684503,1.611018069
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,0.048691985,1.555398335
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,0.098357155,1.770966999
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,-0.030533694,1.253364168
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,to,-0.044449432,1.561323046
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,from,-0.15049698,1.801988548
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,from,0.002754064,1.55814092
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,from,-0.073016413,1.809717225
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,from,0.01427007,1.985390609
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,from,-0.029674818,2.043442063
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.04451824,2.296459248
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.096993716,2.351754058
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.057207252,2.020059343
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.090320481,2.176985226
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.022979052,1.60226797
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,from,0.029299695,1.673916898
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,-0.083585502,1.743761105
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,0.015380682,1.485358833
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,0.033140367,1.424758205
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,-0.028785767,1.884468057
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,0.070371151,1.617685065
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,from,0.025989365,1.590498514
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.105075231,1.981265023
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.040866994,1.818851805
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.063838747,1.298671224
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.036905353,1.824884495
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.114764223,1.266487889
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,from,0.030901165,2.073033357
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,-0.09782985,1.621751226
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,-0.031270956,2.165088748
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,-0.021579431,2.030356088
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,-0.099152042,1.769415263
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,0.005491738,1.829150705
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,3,to,-0.07189246,1.626298629
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,-0.033113379,2.007393697
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,0.047719742,2.221746871
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,0.045614915,2.045392286
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,0.063468902,1.898447271
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,0.03280548,1.725103011
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,3,to,0.039247162,1.522069697
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,-0.087460883,1.871094379
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,0.005593157,1.947795229
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,0.055322979,1.478136865
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,0.034083443,1.75185354
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,0.07030308,1.540125374
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,3,to,0.04286773,1.481944763
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,-0.028545407,1.982545484
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,0.048693857,1.621701609
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,0.053587102,1.505137971
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,0.035551367,1.949886771
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,0.017272036,1.366381596
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,3,to,-0.046874619,1.362004285
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,from,-0.134995842,1.82821003
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,from,-0.099334477,1.852738615
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,from,0.01413021,1.551739286
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,from,-0.047849602,2.257128648
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,from,-0.069466896,2.104948673
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,-0.005675383,1.96209735
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,0.105255291,2.252797815
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,0.02943699,1.82877304
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,0.020356518,1.586288631
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,0.053803407,1.704960647
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,from,0.045580415,1.975122285
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,-0.101565948,1.86723685
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,0.061634546,1.551454224
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,-0.015258516,1.534522516
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,0.07057391,1.626628722
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,-0.019068127,1.518502886
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,from,-0.001305862,1.681543086
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.039619563,1.788586934
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.077572865,1.732527503
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.065755169,1.57304387
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.029139766,1.923524532
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.114375661,1.434345687
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,from,0.015829088,1.861516221
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.130842887,1.962498859
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.095469794,1.879611614
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.043947944,1.712756837
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.117890839,2.065216438
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.011027319,1.905483089
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,4,to,-0.140205415,1.774371393
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,-0.013606398,2.33668931
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,0.040953978,1.752328811
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,0.05782678,2.039346084
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,0.029048641,1.908216004
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,0.066319463,1.815229629
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,4,to,0.045507457,1.426468504
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,-0.099671323,2.135406671
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,-0.012100377,1.927414608
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,0.04680144,1.529588099
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,0.033142929,1.876467358
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,0.049053004,1.578247796
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,4,to,0.043636826,1.3879377
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,to,-0.075121182,2.281693553
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,to,0.047872434,1.541590996
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,to,-0.010467944,1.882762926
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,to,-0.040613055,1.392678527
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,4,to,-0.037744372,1.39019924
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,5,from,-0.138533401,2.162838242
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,5,from,-0.087595632,2.164062474
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,5,from,-0.011165636,1.99833949
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,5,from,-0.073383654,1.55572861
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,5,from,-0.038562309,2.049238544
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,0.002249912,2.284149377
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,0.13287646,2.319701618
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,0.059665832,2.022937031
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,-0.004312242,1.862344215
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,0.01631379,1.576444954
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,5,from,0.095552133,1.646317119
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,-0.091055392,1.851701277
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,0.044654929,1.598120724
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,-0.021128894,1.418576365
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,0.034973967,1.933979295
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,-0.000707483,1.497321534
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,5,from,-0.024210078,1.695130053
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,5,from,0.010115996,1.699018084
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,5,from,0.058242357,1.816241248
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,5,from,0.080367646,1.53436862
