bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_08,trans_08_comp_air,155232,arc_cent_accel,comp,sea level,40,7.96354037,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,arc_cent_accel,comp,elev,467,6.432629501,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,arc_cent_accel,comp,elev,68,6.557331632,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,arc_cent_accel,solo,sea level,403,11.8861064,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,arc_cent_accel,solo,elev,98,5.993907709,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,arc_rad,comp,sea level,149,0.636903477,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,arc_rad,comp,sea level,78,0.706093009,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,arc_rad,comp,elev,89,0.445509318,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,arc_rad,comp,elev,44,0.417386716,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,arc_rad,solo,sea level,98,0.745147542,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,arc_rad,solo,elev,16,0.550584515,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,arc_rad,comp,sea level,178,0.489757715,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,arc_rad,comp,sea level,180,0.511750699,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,arc_rad,comp,elev,75,0.560304106,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,arc_rad,comp,elev,14,0.466516406,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,arc_rad,solo,sea level,31,0.559866874,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,arc_rad,solo,elev,21,0.490562576,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,arc_rad,comp,sea level,199,0.598987468,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,arc_rad,comp,sea level,77,0.538406955,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,arc_rad,comp,elev,39,0.566323759,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,arc_rad,comp,elev,82,0.450308988,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,arc_rad,solo,sea level,181,0.410890803,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,arc_rad,solo,elev,38,0.680493406,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,arc_rad,comp,sea level,180,0.581233629,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
