bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_01,trans_01_comp_elev,165913,hor_decel,comp,elev,179,3.700864737,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,hor_decel,solo,sea level,1497,8.475853232,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,hor_decel,solo,elev,125,4.139005068,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,hor_decel,comp,sea level,971,6.28471756,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,hor_decel,comp,sea level,1116,6.495896928,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,hor_decel,comp,elev,309,5.407069489,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,hor_decel,comp,elev,110,3.712794211,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,hor_decel,solo,sea level,486,6.698519943,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,hor_decel,solo,elev,193,4.723576267,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,hor_decel,comp,sea level,959,7.132975083,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,hor_decel,comp,sea level,620,6.601818305,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,hor_decel,comp,elev,233,6.048828937,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,hor_decel,comp,elev,652,5.113610695,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,hor_decel,solo,sea level,1667,7.367375334,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,hor_decel,solo,elev,649,6.232647117,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,hor_decel,comp,sea level,941,8.808847253,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,hor_decel,comp,sea level,1044,7.868637749,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,hor_decel,comp,elev,898,5.714366764,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,hor_decel,comp,elev,405,5.936764582,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,hor_decel,solo,sea level,1519,9.020467089,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,hor_decel,solo,elev,609,8.108746351,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,hor_decel,comp,sea level,1357,8.612608723,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,hor_decel,comp,sea level,549,8.222534321,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,hor_decel,comp,elev,361,6.928784629,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,hor_decel,comp,elev,385,4.499014514,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,hor_decel,solo,sea level,515,10.26079408,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,hor_decel,solo,elev,1080,7.595648338,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,hor_decel,comp,sea level,486,8.685141646,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,hor_decel,comp,sea level,286,9.027617774,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,hor_decel,comp,elev,790,6.511131794,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,hor_decel,comp,elev,1035,7.402035114,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,hor_decel,solo,sea level,340,8.62529891,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,hor_decel,solo,elev,1159,7.958714013,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,hor_decel,comp,sea level,1372,8.110864298,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,hor_decel,comp,sea level,709,8.586172627,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,hor_decel,comp,elev,645,7.423176253,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,hor_decel,comp,elev,1022,8.631650313,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,hor_decel,solo,sea level,697,10.41132955,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,hor_decel,solo,elev,1377,7.296055525,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,hor_decel,comp,sea level,180,8.525386654,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,hor_decel,comp,sea level,391,7.432712341,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,hor_decel,comp,elev,1137,6.042892085,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,hor_decel,comp,elev,503,5.406427557,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,hor_decel,solo,sea level,984,7.831945968,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,hor_decel,solo,elev,922,6.018698904,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,pitch_down,comp,sea level,263,1.167723747,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,pitch_down,comp,sea level,148,1.107019062,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,pitch_down,comp,elev,35,0.862474573,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,pitch_down,comp,elev,47,0.793210174,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,pitch_down,solo,sea level,405,1.089477309,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,pitch_down,solo,elev,16,0.922908235,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,pitch_down,comp,sea level,398,0.973589881,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,pitch_down,comp,sea level,540,1.015133428,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,pitch_down,comp,elev,70,0.942781932,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,pitch_down,comp,elev,28,0.849106481,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,pitch_down,solo,sea level,199,1.032270766,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,pitch_down,solo,elev,600,0.88264007,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,pitch_down,comp,sea level,163,0.938336683,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,pitch_down,comp,sea level,151,0.885693682,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,pitch_down,comp,elev,86,1.010650255,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,pitch_down,comp,elev,115,0.747828044,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,pitch_down,solo,sea level,281,0.874094536,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,pitch_down,solo,elev,100,0.871670183,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,pitch_down,comp,sea level,172,1.085265882,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,pitch_down,comp,sea level,212,1.00263092,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,pitch_down,comp,elev,184,0.92070191,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,pitch_down,comp,elev,76,0.99146443,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,pitch_down,solo,sea level,366,1.057119958,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,pitch_down,solo,elev,205,0.983919792,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,pitch_down,comp,sea level,425,0.951619089,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,pitch_down,comp,sea level,304,1.059238799,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,pitch_down,comp,elev,120,1.023016502,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,pitch_down,comp,elev,63,0.797714069,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,pitch_down,solo,sea level,211,1.024490816,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,pitch_down,solo,elev,383,1.051438597,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,pitch_down,comp,sea level,131,1.259859001,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,pitch_down,comp,sea level,78,1.236195611,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,pitch_down,comp,elev,102,1.009385708,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,pitch_down,comp,elev,87,1.025874174,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,pitch_down,solo,sea level,89,1.050389919,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,pitch_down,solo,elev,95,0.887173238,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,pitch_down,comp,sea level,448,1.137726843,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,pitch_down,comp,sea level,208,1.260615558,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,pitch_down,comp,elev,161,1.117535237,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,pitch_down,comp,elev,144,1.189173475,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,pitch_down,solo,sea level,242,1.179658782,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,pitch_down,solo,elev,211,1.059472932,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,pitch_down,comp,sea level,85,1.093407492,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,pitch_down,comp,sea level,177,1.034340983,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,pitch_down,comp,elev,271,0.946747352,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,pitch_down,comp,elev,65,0.976626504,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,pitch_down,solo,sea level,350,0.958354176,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,pitch_down,solo,elev,139,0.999186112,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,pitch_up,comp,sea level,81,1.201279159,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,pitch_up,comp,sea level,68,1.346954957,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,pitch_up,comp,elev,6,1.115404972,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,pitch_up,comp,elev,12,1.043710824,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,pitch_up,solo,sea level,112,1.170926246,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,pitch_up,solo,elev,9,0.802753434,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,pitch_up,comp,sea level,161,1.061865148,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,pitch_up,comp,sea level,208,1.154432558,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,pitch_up,comp,elev,26,1.072349092,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,pitch_up,comp,elev,10,0.886573118,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,pitch_up,solo,sea level,62,1.005999222,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,pitch_up,solo,elev,318,0.916134919,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,pitch_up,comp,sea level,39,1.106680331,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,pitch_up,comp,sea level,43,1.163712992,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,pitch_up,comp,elev,28,1.107056398,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,pitch_up,comp,elev,23,1.073207097,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,pitch_up,solo,sea level,62,1.189214295,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,pitch_up,solo,elev,27,0.951594752,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,pitch_up,comp,sea level,80,1.243771285,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,pitch_up,comp,sea level,94,1.25457816,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,pitch_up,comp,elev,36,0.973082503,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,pitch_up,comp,elev,12,1.234079882,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,pitch_up,solo,sea level,96,1.230237162,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,pitch_up,solo,elev,61,0.97424087,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,pitch_up,comp,sea level,108,1.135414485,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,pitch_up,comp,sea level,80,1.218285739,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,pitch_up,comp,elev,34,1.098507126,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,pitch_up,comp,elev,17,0.99939605,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,pitch_up,solo,sea level,93,1.142174694,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,pitch_up,solo,elev,82,0.96917143,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,pitch_up,comp,sea level,44,1.31753589,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,pitch_up,comp,sea level,23,1.196557021,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,pitch_up,comp,elev,21,1.157615145,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,pitch_up,comp,elev,24,1.169117644,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,pitch_up,solo,sea level,34,1.166258603,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,pitch_up,solo,elev,28,1.275393505,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,pitch_up,comp,sea level,134,1.243725781,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,pitch_up,comp,sea level,55,1.320317668,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,pitch_up,comp,elev,45,1.142245258,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,pitch_up,comp,elev,34,1.038552832,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,pitch_up,solo,sea level,94,1.44386477,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,pitch_up,solo,elev,52,1.129152908,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,pitch_up,comp,sea level,32,1.181878067,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,pitch_up,comp,sea level,61,1.075876743,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,pitch_up,comp,elev,60,1.004369447,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,pitch_up,comp,elev,19,0.876761283,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,pitch_up,solo,sea level,71,1.195016179,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,pitch_up,solo,elev,42,1.090230024,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,PRT_deg_turned,comp,sea level,378,143.3965535,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,PRT_deg_turned,comp,sea level,194,146.0613852,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,PRT_deg_turned,comp,elev,81,139.5958002,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,PRT_deg_turned,comp,elev,81,155.6848451,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,PRT_deg_turned,solo,sea level,842,131.7336833,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,PRT_deg_turned,solo,elev,29,161.9221581,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,PRT_deg_turned,comp,sea level,331,132.8895841,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,PRT_deg_turned,comp,sea level,423,131.8668435,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,PRT_deg_turned,comp,elev,66,143.0977986,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,PRT_deg_turned,comp,elev,19,141.8140171,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,PRT_deg_turned,solo,sea level,230,113.6675809,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,PRT_deg_turned,solo,elev,19,144.8510019,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,PRT_deg_turned,comp,sea level,264,135.5058797,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,PRT_deg_turned,comp,sea level,269,153.049666,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,PRT_deg_turned,comp,elev,64,143.4389754,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,PRT_deg_turned,comp,elev,262,165.6177368,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,PRT_deg_turned,solo,sea level,960,163.2801301,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,PRT_deg_turned,solo,elev,174,168.1928925,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,PRT_deg_turned,comp,sea level,212,137.5589195,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,PRT_deg_turned,comp,sea level,322,145.4083161,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,PRT_deg_turned,comp,elev,139,142.320387,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,PRT_deg_turned,comp,elev,144,155.1032529,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,PRT_deg_turned,solo,sea level,863,156.587845,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,PRT_deg_turned,solo,elev,1057,172.8845228,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,PRT_deg_turned,comp,sea level,534,159.7903094,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,PRT_deg_turned,comp,sea level,210,133.412041,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,PRT_deg_turned,comp,elev,125,151.3014508,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,PRT_deg_turned,comp,elev,137,160.5987543,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,PRT_deg_turned,solo,sea level,135,145.5070825,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,PRT_deg_turned,solo,elev,418,158.4819091,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,PRT_deg_turned,comp,sea level,125,137.8598903,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,PRT_deg_turned,comp,sea level,51,148.7443673,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,PRT_deg_turned,comp,elev,308,149.6739586,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,PRT_deg_turned,comp,elev,432,160.336745,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,PRT_deg_turned,solo,sea level,65,130.4580767,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,PRT_deg_turned,solo,elev,353,158.9090947,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,PRT_deg_turned,comp,sea level,552,153.7617639,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,PRT_deg_turned,comp,sea level,261,157.5478649,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,PRT_deg_turned,comp,elev,172,154.0551892,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,PRT_deg_turned,comp,elev,273,158.9083964,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,PRT_deg_turned,solo,sea level,210,139.2655492,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,PRT_deg_turned,solo,elev,400,163.2179345,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,PRT_deg_turned,comp,sea level,29,152.996536,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,PRT_deg_turned,comp,sea level,111,151.5557546,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,PRT_deg_turned,comp,elev,586,137.3425681,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,PRT_deg_turned,comp,elev,77,153.5971292,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,PRT_deg_turned,solo,sea level,602,149.4192437,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,PRT_deg_turned,solo,elev,156,140.2040086,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,PRT_time,comp,sea level,378,0.457579365,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,PRT_time,comp,sea level,194,0.433092784,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,PRT_time,comp,elev,81,0.452407407,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,PRT_time,comp,elev,81,0.438271605,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,PRT_time,solo,sea level,842,0.439210214,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,PRT_time,solo,elev,29,0.48137931,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,PRT_time,comp,sea level,331,0.449305136,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,PRT_time,comp,sea level,423,0.485307329,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,PRT_time,comp,elev,66,0.446818182,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,PRT_time,comp,elev,18,0.492777778,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
