bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,trial.day.of.year,capture.day.of.year,days.after
gas_09,gas_09_comp_nit,165423,hor_accel,comp,nit,769,3.608438308,51.623,1495.753,7.127,4.5,7.22,54,24,30
gas_09,gas_09_solo_air,143321,hor_accel,solo,air,569,4.399673863,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_solo_hel,101810,hor_accel,solo,hel,282,3.655868885,51.623,1495.753,7.127,4.5,7.22,55,24,31
gas_09,gas_09_solo_nit,120052,hor_accel,solo,nit,180,4.540240962,51.623,1495.753,7.127,4.5,7.22,52,24,28
gas_10,gas_10_comp_air,163920,hor_accel,comp,air,672,3.231285351,52.871,1428.777,7.833,4.37,4.88,51,-20,71
gas_10,gas_10_comp_hel,122813,hor_accel,comp,hel,201,3.349992108,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_comp_nit,125257,hor_accel,comp,nit,298,3.16660021,52.871,1428.777,7.833,4.37,4.88,60,-20,80
gas_10,gas_10_solo_air,150149,hor_accel,solo,air,739,3.017840894,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_solo_hel,175929,hor_accel,solo,hel,548,3.667504879,52.871,1428.777,7.833,4.37,4.88,52,-20,72
gas_10,gas_10_solo_nit,95516,hor_accel,solo,nit,189,3.50432688,52.871,1428.777,7.833,4.37,4.88,57,-20,77
gas_11,gas_11_comp_air,94818,hor_accel,comp,air,2674,4.808738059,55.445,1620.07,7.593,4.62,5.66,61,51,10
gas_11,gas_11_comp_hel,122813,hor_accel,comp,hel,1069,3.498017705,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_comp_nit,165423,hor_accel,comp,nit,3322,3.881424159,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_11,gas_11_solo_air,102128,hor_accel,solo,air,2719,4.987081652,55.445,1620.07,7.593,4.62,5.66,58,51,7
gas_11,gas_11_solo_hel,101822,hor_accel,solo,hel,1782,3.619160827,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_solo_nit,144922,hor_accel,solo,nit,1915,4.147116369,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_12,gas_12_comp_air,94818,hor_accel,comp,air,383,3.645144164,54.228,1653.012,7.13,4.63,5.66,61,58,3
gas_12,gas_12_comp_hel,111200,hor_accel,comp,hel,2901,2.767273212,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_comp_nit,125257,hor_accel,comp,nit,519,3.640230072,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_air,153221,hor_accel,solo,air,1028,3.73210201,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_hel,90835,hor_accel,solo,hel,811,2.581223494,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_solo_nit,103554,hor_accel,solo,nit,2032,3.160351768,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_13,gas_13_comp_air,152808,hor_accel,comp,air,692,2.875871861,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_comp_hel,171657,hor_accel,comp,hel,896,2.982907955,52.549,1518.295,7.278,4.23,6.44,107,79,28
gas_13,gas_13_comp_nit,162119,hor_accel,comp,nit,843,3.854712265,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_13,gas_13_solo_air,105234,hor_accel,solo,air,762,3.040061995,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_solo_hel,111302,hor_accel,solo,hel,812,4.180907223,52.549,1518.295,7.278,4.23,6.44,107,79,28
gas_13,gas_13_solo_nit,102148,hor_accel,solo,nit,922,3.899558963,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_14,gas_14_comp_air,152808,hor_accel,comp,air,1120,3.516435143,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_comp_hel,154017,hor_accel,comp,hel,310,3.590291507,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_comp_nit,114839,hor_accel,comp,nit,498,4.449011391,53.641,1524.945,7.557,4.75,5.27,111,79,32
