495,12.6,16.002,8.001,16.002,0,8.001,0,4.0005,8.001,20.002,0,8.001,0,4.0005,4.0005,4.0005,8.001,0,8.001,4.0005,4.0005
NaN,NaN,0,8.0002,0,0,8.0002,8.0002,0,12,0,4.0001,0,0,8.0002,0,4.0001,4.0001,0,8.0002,4.0001,4.0001
315,2.12,20,20,16,16,4.0001,20,28,16,28,24,28,8.0001,16,12,20,12,16,12,16,12
NaN,NaN,0,4.0001,0,24.001,0,0,4.0001,4.0001,0,4.0001,0,4.0001,12,4.0001,8.0002,0,0,0,0,4.0001
315,0.53,0,4.0001,0,0,4.0001,8.0002,0,8.0002,4.0001,0,4.0001,0,4.0001,4.0001,12,4.0001,0,0,0,0
NaN,NaN,8.0002,4.0001,0,4.0001,0,4.0001,0,0,0,0,4.0001,8.0002,8.0002,0,0,0,4.0001,0,0,16
495,0.032,0,0,8.0002,12,8.0002,4.0001,4.0001,0,0,4.0001,4.0001,4.0001,8.0002,0,4.0001,0,4.0001,0,8.0002,8.0002
NaN,NaN,4.0001,0,4.0001,4.0001,0,0,0,0,0,4.0001,0,8.0002,4.0001,0,8.0002,4.0001,4.0001,4.0001,0,4.0001
495,3.2,36.001,16,12,36.001,16,24,12,8.0001,8.0001,8.0001,16,36.001,12,16,12,8.0001,20,16,12,0
NaN,NaN,8.0003,4.0002,12,4.0002,16.001,12,4.0002,8.0003,4.0002,4.0002,0,0,4.0002,0,0,0,8.0003,0,0,0
315,0.26,0,0,4.0001,8.0001,0,4.0001,0,4.0001,8.0001,4.0001,0,0,4.0001,4.0001,0,4.0001,12,4.0001,0,0
NaN,NaN,0,0,4.0001,0,0,0,8.0002,0,0,0,4.0001,4.0001,4.0001,0,4.0001,8.0002,0,0,4.0001,0
315,1.05,4.0001,20,4.0001,4.0001,4.0001,0,0,16,4.0001,0,0,4.0001,8.0001,0,16,4.0001,0,20,0,4.0001
NaN,NaN,24.001,4.0001,24.001,8.0002,8.0002,12,12,12,8.0002,16,4.0001,4.0001,16,8.0002,0,0,0,4.0001,0,0
495,1.05,4.0001,12,12,12,12,20,8.0002,20,12,8.0002,8.0002,20,12,4.0001,4.0001,4.0001,0,0,0,8.0002
NaN,NaN,16,0,0,4.0001,4.0001,0,0,0,0,4.0001,12,4.0001,0,4.0001,0,8.0002,4.0001,0,0,0
495,2.12,12,20,20,4.0001,24,12,12,16,0,4.0001,16,4.0001,16,8.0001,32,8.0001,12,0,8.0001,12
NaN,NaN,4.0001,12,4.0001,0,4.0001,8.0002,4.0001,4.0001,0,0,0,0,0,0,0,4.0001,0,8.0002,0,0
315,3.2,28.001,52.001,24.001,36.001,40.001,12,32.001,20.001,20.001,24.001,24.001,16,20.001,12,12,48.001,28.001,24.001,4.0001,8.0002
NaN,NaN,12,0,0,4.0001,8.0002,4.0001,8.0002,0,0,16,4.0001,4.0001,0,4.0001,4.0001,0,0,12,8.0002,0
315,12.6,36.001,32.001,24,48.001,36.001,32.001,36.001,32.001,28.001,32.001,8.0002,20,40.001,16,32.001,28.001,32.001,0,28.001,28.001
NaN,NaN,12,8.0002,24.001,8.0002,0,8.0002,4.0001,16,4.0001,4.0001,4.0001,4.0001,0,8.0002,4.0001,0,8.0002,0,0,0
495,6.7,36.001,16,16,16,28,16,8.0001,4.0001,20,16,8.0001,12,24,16,4.0001,8.0001,12,4.0001,12,16
NaN,NaN,12,4.0001,4.0001,16,4.0001,20.001,0,0,4.0001,0,0,4.0001,4.0001,0,0,0,4.0001,4.0001,0,0
495,0.26,4.0001,12,4.0001,0,0,4.0001,0,8.0002,0,4.0001,0,8.0002,0,0,8.0002,0,4.0001,0,4.0001,0
NaN,NaN,0,0,4.0001,0,0,0,0,0,8.0002,0,8.0002,0,0,0,8.0002,4.0001,12,12,0,4.0001
315,4.32,32.001,52.001,40.001,32.001,28.001,20,12,16,28.001,20,12,20,12,12,8.0002,12,4.0001,8.0002,28.001,12
NaN,NaN,12,0,8.0002,4.0001,16,0,12,16,8.0002,0,8.0002,8.0002,4.0001,12,0,8.0002,0,0,0,20
495,0.063,8.0002,12,0,0,12,0,0,4.0001,4.0001,4.0001,4.0001,0,0,4.0001,12,12,0,0,0,0
NaN,NaN,0,0,0,0,0,0,0,8.0002,0,4.0001,0,12,0,0,8.0002,8.0002,4.0001,0,4.0001,0
495,4.32,12,28.001,8.0002,4.0001,4.0001,8.0002,12,28.001,20,20,8.0002,12,8.0002,20,16,8.0002,8.0002,0,0,28.001
NaN,NaN,8.0002,4.0001,20,20,28.001,24,8.0002,16,4.0001,4.0001,4.0001,0,0,4.0001,0,4.0001,0,4.0001,4.0001,0
315,6.7,40.001,68.001,48.001,56.001,20,4.0001,36.001,20,0,12,32.001,16,8.0002,0,16,8.0002,0,20,12,28.001
NaN,NaN,4.0001,8.0001,0,0,4.0001,12,4.0001,8.0001,0,4.0001,28,4.0001,0,0,4.0001,0,0,4.0001,4.0001,4.0001
315,0.13,0,0,0,4.0002,8.0003,0,0,0,12,0,0,4.0002,4.0002,4.0002,8.0003,4.0002,8.0003,12,0,8.0003
NaN,NaN,4.0001,0,4.0001,0,0,0,16,0,4.0001,4.0001,0,0,8.0001,4.0001,0,0,12,0,0,8.0001
495,9.41,28.001,28.001,28.001,32.001,44.001,16,16,16,8.0002,16,20.001,16,8.0002,12,20.001,12,8.0002,4.0001,8.0002,32.001
NaN,NaN,16,12,0,16,8.0001,4.0001,8.0001,4.0001,12,4.0001,4.0001,4.0001,8.0001,0,0,0,0,4.0001,0,0
495,0.13,4.0001,0,0,0,0,12,0,16,0,8.0002,4.0001,8.0002,0,0,0,0,0,0,4.0001,0
NaN,NaN,8.0001,4,4,0,12,4,0,0,8.0001,4,4,0,4,0,4,8.0001,8.0001,0,4,0
315,0.063,0,12,4.0002,4.0002,4.0002,0,12,4.0002,4.0002,8.0003,0,4.0002,4.0002,8.0003,24.001,4.0002,12,8.0003,0,4.0002
NaN,NaN,8.0001,4.0001,0,0,16,8.0001,4.0001,8.0001,4.0001,8.0001,0,0,8.0001,0,0,4.0001,0,8.0001,8.0001,0
315,9.41,28.001,28.001,48.001,20,40.001,28.001,28.001,32.001,20,32.001,20,8.0002,8.0002,16,20,32.001,8.0002,4.0001,12,24
NaN,NaN,16,4.0001,4.0001,4.0001,0,8.0002,0,8.0002,0,8.0002,0,4.0001,4.0001,4.0001,20.001,4.0001,12,12,0,0
315,0.032,0,0,12,4.0001,8.0002,0,4.0001,0,4.0001,4.0001,0,8.0002,4.0001,4.0001,8.0002,8.0002,0,0,0,4.0001
NaN,NaN,4.0001,16,4.0001,0,0,0,0,0,4.0001,0,4.0001,0,0,8.0002,4.0001,0,0,4.0001,0,8.0002
495,0.53,0,4.0001,0,4.0001,4.0001,0,0,4.0001,4.0001,0,4.0001,8.0002,0,0,8.0002,4.0001,0,0,4.0001,0
